ph5_time=9.175000190734863, ph6_time=6.896999835968018
ph5_time=9.207018613815308, ph6_time=7.016981363296509
ph5_time=9.324018716812134, ph6_time=6.92898154258728
ph5_time=9.10299038887024, ph6_time=6.810989856719971
ph5_time=8.904999256134033, ph6_time=6.956019639968872
ph5_time=8.88099980354309, ph6_time=6.7090003490448
ph5_time=8.981010437011719, ph6_time=6.704989671707153
ph5_time=8.856990337371826, ph6_time=6.707990407943726
ph5_time=8.826007843017578, ph6_time=6.703001976013184
ph5_time=8.9610116481781, ph6_time=6.765009164810181
ph5_time=8.899009227752686, ph6_time=6.869988679885864
ph5_time=8.875999689102173, ph6_time=6.663990497589111
ph5_time=8.884000062942505, ph6_time=6.676000356674194
ph5_time=8.99100661277771, ph6_time=6.864982843399048
ph5_time=8.88099980354309, ph6_time=6.755000114440918
ph5_time=9.081000089645386, ph6_time=6.7850000858306885
ph5_time=8.878014087677002, ph6_time=6.682985782623291
ph5_time=8.989010334014893, ph6_time=6.674000024795532
ph5_time=8.961018085479736, ph6_time=6.714971542358398
ph5_time=8.879000663757324, ph6_time=6.875989675521851
ph5_time=8.926000356674194, ph6_time=6.744009494781494
ph5_time=8.896989822387695, ph6_time=6.723999977111816
ph5_time=9.060997247695923, ph6_time=6.827004432678223
ph5_time=8.884000062942505, ph6_time=6.714008569717407
ph5_time=8.918999910354614, ph6_time=6.773000001907349
ph5_time=8.92700457572937, ph6_time=6.811995506286621
ph5_time=9.09600019454956, ph6_time=7.138999700546265
ph5_time=9.073017835617065, ph6_time=6.75798225402832
ph5_time=9.000991344451904, ph6_time=7.144999742507935
ph5_time=9.306004524230957, ph6_time=6.949994087219238
ph5_time=9.061593532562256, ph6_time=6.736010313034058
ph5_time=8.94001054763794, ph6_time=6.851989269256592
ph5_time=8.868000030517578, ph6_time=6.733999729156494
ph5_time=8.943980693817139, ph6_time=6.751000642776489
ph5_time=9.708999872207642, ph6_time=7.26901912689209
ph5_time=9.130979537963867, ph6_time=7.358999729156494
ph5_time=9.126011371612549, ph6_time=6.868000507354736
ph5_time=9.290003299713135, ph6_time=6.762006521224976
ph5_time=8.996982336044312, ph6_time=6.8499884605407715
ph5_time=9.197013854980469, ph6_time=6.741002082824707
ph5_time=9.322999954223633, ph6_time=6.922000169754028
ph5_time=9.369990825653076, ph6_time=6.719999551773071
ph5_time=9.19299054145813, ph6_time=6.91801905632019
