0: pha2=0, ran=0, equ=0
50: pha2=8, ran=22, equ=20
100: pha2=18, ran=41, equ=41
150: pha2=27, ran=57, equ=66
200: pha2=33, ran=73, equ=94
250: pha2=41, ran=92, equ=117
300: pha2=47, ran=111, equ=142
350: pha2=53, ran=127, equ=170
400: pha2=66, ran=142, equ=192
450: pha2=75, ran=162, equ=213
500: pha2=84, ran=182, equ=234
550: pha2=93, ran=205, equ=252
600: pha2=95, ran=226, equ=279
650: pha2=105, ran=247, equ=298
700: pha2=113, ran=269, equ=318
750: pha2=118, ran=288, equ=344
800: pha2=128, ran=304, equ=368
850: pha2=137, ran=323, equ=390
900: pha2=139, ran=341, equ=420
950: pha2=150, ran=359, equ=441
1000: pha2=163, ran=375, equ=462
1050: pha2=170, ran=391, equ=489
1100: pha2=177, ran=404, equ=519
1150: pha2=184, ran=425, equ=541
1200: pha2=191, ran=445, equ=564
1250: pha2=200, ran=464, equ=586
1300: pha2=203, ran=488, equ=609
1350: pha2=214, ran=503, equ=633
1400: pha2=222, ran=526, equ=652
1450: pha2=231, ran=546, equ=673
1500: pha2=239, ran=567, equ=694
1550: pha2=245, ran=591, equ=714
1600: pha2=253, ran=608, equ=739
1650: pha2=259, ran=624, equ=767
1700: pha2=264, ran=647, equ=789
1750: pha2=270, ran=666, equ=814
1800: pha2=281, ran=681, equ=838
1850: pha2=288, ran=704, equ=858
1900: pha2=295, ran=723, equ=882
1950: pha2=302, ran=740, equ=908
2000: pha2=309, ran=759, equ=932
2050: pha2=314, ran=776, equ=960
2100: pha2=323, ran=798, equ=979
2150: pha2=329, ran=817, equ=1004
2200: pha2=333, ran=837, equ=1030
2250: pha2=341, ran=850, equ=1059
2300: pha2=348, ran=875, equ=1077
2350: pha2=353, ran=901, equ=1096
2400: pha2=361, ran=922, equ=1117
2450: pha2=371, ran=939, equ=1140
2500: pha2=380, ran=957, equ=1163
2550: pha2=389, ran=979, equ=1182
2600: pha2=394, ran=1003, equ=1203
2650: pha2=401, ran=1019, equ=1230
2700: pha2=417, ran=1034, equ=1249
2750: pha2=423, ran=1054, equ=1273
2800: pha2=429, ran=1071, equ=1300
2850: pha2=439, ran=1096, equ=1315
2900: pha2=448, ran=1118, equ=1334
2950: pha2=455, ran=1135, equ=1360
3000: pha2=462, ran=1153, equ=1385
3050: pha2=469, ran=1173, equ=1408
3100: pha2=476, ran=1185, equ=1439
3150: pha2=484, ran=1205, equ=1461
3200: pha2=488, ran=1230, equ=1482
3250: pha2=497, ran=1250, equ=1503
3300: pha2=502, ran=1266, equ=1532
3350: pha2=506, ran=1289, equ=1555
3400: pha2=512, ran=1310, equ=1578
3450: pha2=518, ran=1332, equ=1600
3500: pha2=529, ran=1348, equ=1623
3550: pha2=534, ran=1363, equ=1653
3600: pha2=537, ran=1387, equ=1676
3650: pha2=543, ran=1405, equ=1702
3700: pha2=546, ran=1427, equ=1727
3750: pha2=556, ran=1444, equ=1750
3800: pha2=567, ran=1459, equ=1774
3850: pha2=577, ran=1477, equ=1796
3900: pha2=583, ran=1502, equ=1815
3950: pha2=590, ran=1522, equ=1838
4000: pha2=595, ran=1541, equ=1864
4050: pha2=605, ran=1560, equ=1885
4100: pha2=611, ran=1582, equ=1907
