0: my_win=0, ran2_win=0, equ=0
10: my_win=10, ran2_win=0, equ=0
12: my_win=12, ran2_win=0, equ=0
13: my_win=13, ran2_win=0, equ=0
14: my_win=13, ran2_win=0, equ=1
15: my_win=14, ran2_win=0, equ=1
16: my_win=15, ran2_win=0, equ=1
17: my_win=16, ran2_win=0, equ=1
18: my_win=17, ran2_win=0, equ=1
19: my_win=17, ran2_win=0, equ=2
20: my_win=18, ran2_win=0, equ=2
21: my_win=19, ran2_win=0, equ=2
22: my_win=20, ran2_win=0, equ=2
23: my_win=21, ran2_win=0, equ=2
24: my_win=22, ran2_win=0, equ=2
25: my_win=23, ran2_win=0, equ=2
26: my_win=24, ran2_win=0, equ=2
27: my_win=25, ran2_win=0, equ=2
28: my_win=25, ran2_win=0, equ=3
29: my_win=26, ran2_win=0, equ=3
30: my_win=27, ran2_win=0, equ=3
31: my_win=27, ran2_win=0, equ=4
32: my_win=28, ran2_win=0, equ=4
33: my_win=29, ran2_win=0, equ=4
34: my_win=30, ran2_win=0, equ=4
35: my_win=31, ran2_win=0, equ=4
36: my_win=31, ran2_win=0, equ=5
37: my_win=32, ran2_win=0, equ=5
38: my_win=32, ran2_win=0, equ=6
39: my_win=33, ran2_win=0, equ=6
40: my_win=34, ran2_win=0, equ=6
41: my_win=35, ran2_win=0, equ=6
42: my_win=36, ran2_win=0, equ=6
43: my_win=36, ran2_win=0, equ=7
44: my_win=37, ran2_win=0, equ=7
45: my_win=37, ran2_win=0, equ=8
46: my_win=38, ran2_win=0, equ=8
47: my_win=38, ran2_win=0, equ=9
48: my_win=39, ran2_win=0, equ=9
49: my_win=39, ran2_win=0, equ=10
50: my_win=40, ran2_win=0, equ=10
51: my_win=40, ran2_win=0, equ=11
52: my_win=41, ran2_win=0, equ=11
53: my_win=42, ran2_win=0, equ=11
54: my_win=43, ran2_win=0, equ=11
55: my_win=43, ran2_win=0, equ=12
56: my_win=44, ran2_win=0, equ=12
57: my_win=45, ran2_win=0, equ=12
58: my_win=46, ran2_win=0, equ=12
59: my_win=47, ran2_win=0, equ=12
60: my_win=48, ran2_win=0, equ=12
61: my_win=49, ran2_win=0, equ=12
62: my_win=50, ran2_win=0, equ=12
63: my_win=50, ran2_win=0, equ=13
64: my_win=50, ran2_win=0, equ=14
65: my_win=50, ran2_win=0, equ=15
66: my_win=50, ran2_win=0, equ=16
67: my_win=51, ran2_win=0, equ=16
68: my_win=52, ran2_win=0, equ=16
69: my_win=53, ran2_win=0, equ=16
70: my_win=54, ran2_win=0, equ=16
71: my_win=55, ran2_win=0, equ=16
72: my_win=56, ran2_win=0, equ=16
73: my_win=57, ran2_win=0, equ=16
74: my_win=57, ran2_win=0, equ=17
75: my_win=58, ran2_win=0, equ=17
76: my_win=59, ran2_win=0, equ=17
77: my_win=60, ran2_win=0, equ=17
78: my_win=61, ran2_win=0, equ=17
79: my_win=62, ran2_win=0, equ=17
80: my_win=62, ran2_win=0, equ=18
81: my_win=63, ran2_win=0, equ=18
82: my_win=64, ran2_win=0, equ=18
83: my_win=65, ran2_win=0, equ=18
84: my_win=66, ran2_win=0, equ=18
85: my_win=67, ran2_win=0, equ=18
86: my_win=68, ran2_win=0, equ=18
87: my_win=69, ran2_win=0, equ=18
88: my_win=70, ran2_win=0, equ=18
89: my_win=70, ran2_win=0, equ=19
90: my_win=70, ran2_win=0, equ=20
91: my_win=71, ran2_win=0, equ=20
92: my_win=72, ran2_win=0, equ=20
93: my_win=73, ran2_win=0, equ=20
94: my_win=74, ran2_win=0, equ=20
95: my_win=75, ran2_win=0, equ=20
96: my_win=76, ran2_win=0, equ=20
97: my_win=77, ran2_win=0, equ=20
98: my_win=78, ran2_win=0, equ=20
99: my_win=78, ran2_win=0, equ=21
100: my_win=79, ran2_win=0, equ=21
101: my_win=79, ran2_win=0, equ=22
102: my_win=79, ran2_win=0, equ=23
103: my_win=79, ran2_win=0, equ=24
104: my_win=79, ran2_win=0, equ=25
105: my_win=80, ran2_win=0, equ=25
106: my_win=81, ran2_win=0, equ=25
107: my_win=81, ran2_win=0, equ=26
108: my_win=82, ran2_win=0, equ=26
109: my_win=83, ran2_win=0, equ=26
110: my_win=84, ran2_win=0, equ=26
111: my_win=85, ran2_win=0, equ=26
112: my_win=86, ran2_win=0, equ=26
113: my_win=87, ran2_win=0, equ=26
114: my_win=88, ran2_win=0, equ=26
115: my_win=89, ran2_win=0, equ=26
116: my_win=90, ran2_win=0, equ=26
117: my_win=91, ran2_win=0, equ=26
118: my_win=91, ran2_win=0, equ=27
119: my_win=92, ran2_win=0, equ=27
120: my_win=93, ran2_win=0, equ=27
121: my_win=94, ran2_win=0, equ=27
122: my_win=95, ran2_win=0, equ=27
123: my_win=96, ran2_win=0, equ=27
124: my_win=97, ran2_win=0, equ=27
125: my_win=98, ran2_win=0, equ=27
126: my_win=99, ran2_win=0, equ=27
127: my_win=100, ran2_win=0, equ=27
128: my_win=101, ran2_win=0, equ=27
129: my_win=102, ran2_win=0, equ=27
130: my_win=102, ran2_win=0, equ=28
131: my_win=103, ran2_win=0, equ=28
132: my_win=104, ran2_win=0, equ=28
133: my_win=105, ran2_win=0, equ=28
134: my_win=106, ran2_win=0, equ=28
135: my_win=107, ran2_win=0, equ=28
136: my_win=108, ran2_win=0, equ=28
137: my_win=109, ran2_win=0, equ=28
138: my_win=109, ran2_win=0, equ=29
139: my_win=110, ran2_win=0, equ=29
140: my_win=110, ran2_win=0, equ=30
141: my_win=110, ran2_win=0, equ=31
142: my_win=111, ran2_win=0, equ=31
143: my_win=112, ran2_win=0, equ=31
144: my_win=112, ran2_win=1, equ=31
145: my_win=113, ran2_win=1, equ=31
146: my_win=114, ran2_win=1, equ=31
147: my_win=115, ran2_win=1, equ=31
148: my_win=115, ran2_win=2, equ=31
149: my_win=116, ran2_win=2, equ=31
150: my_win=117, ran2_win=2, equ=31
151: my_win=118, ran2_win=2, equ=31
152: my_win=118, ran2_win=2, equ=32
153: my_win=119, ran2_win=2, equ=32
154: my_win=120, ran2_win=2, equ=32
155: my_win=121, ran2_win=2, equ=32
