0: ph4=0, ran_win=0, equ=0
1: pha4=1, ran=0, equ=0
2: pha4=1, ran=0, equ=1
3: pha4=1, ran=0, equ=2
4: pha4=1, ran=1, equ=2
5: pha4=2, ran=1, equ=2
6: pha4=2, ran=1, equ=3
7: pha4=2, ran=2, equ=3
8: pha4=3, ran=2, equ=3
9: pha4=3, ran=3, equ=3
10: pha4=4, ran=3, equ=3
11: pha4=4, ran=3, equ=4
12: pha4=4, ran=4, equ=4
13: pha4=5, ran=4, equ=4
14: pha4=5, ran=5, equ=4
15: pha4=5, ran=6, equ=4
16: pha4=5, ran=7, equ=4
17: pha4=5, ran=8, equ=4
18: pha4=5, ran=8, equ=5
19: pha4=5, ran=8, equ=6
20: pha4=6, ran=8, equ=6
21: pha4=7, ran=8, equ=6
22: pha4=7, ran=8, equ=7
23: pha4=8, ran=8, equ=7
24: pha4=9, ran=8, equ=7
25: pha4=10, ran=8, equ=7
26: pha4=11, ran=8, equ=7
27: pha4=12, ran=8, equ=7
28: pha4=12, ran=8, equ=8
29: pha4=12, ran=9, equ=8
30: pha4=12, ran=9, equ=9
31: pha4=12, ran=9, equ=10
32: pha4=12, ran=9, equ=11
33: pha4=13, ran=9, equ=11
34: pha4=13, ran=9, equ=12
35: pha4=13, ran=10, equ=12
36: pha4=13, ran=10, equ=13
37: pha4=13, ran=10, equ=14
38: pha4=13, ran=10, equ=15
39: pha4=13, ran=10, equ=16
40: pha4=13, ran=11, equ=16
41: pha4=13, ran=11, equ=17
42: pha4=13, ran=11, equ=18
43: pha4=14, ran=11, equ=18
44: pha4=14, ran=11, equ=19
45: pha4=15, ran=11, equ=19
46: pha4=15, ran=12, equ=19
47: pha4=16, ran=12, equ=19
48: pha4=16, ran=13, equ=19
49: pha4=17, ran=13, equ=19
50: pha4=18, ran=13, equ=19
51: pha4=18, ran=13, equ=20
52: pha4=19, ran=13, equ=20
53: pha4=19, ran=13, equ=21
54: pha4=19, ran=13, equ=22
55: pha4=20, ran=13, equ=22
56: pha4=21, ran=13, equ=22
57: pha4=22, ran=13, equ=22
58: pha4=23, ran=13, equ=22
59: pha4=23, ran=14, equ=22
60: pha4=23, ran=14, equ=23
61: pha4=23, ran=14, equ=24
62: pha4=23, ran=14, equ=25
63: pha4=24, ran=14, equ=25
64: pha4=25, ran=14, equ=25
65: pha4=26, ran=14, equ=25
66: pha4=26, ran=14, equ=26
67: pha4=27, ran=14, equ=26
68: pha4=27, ran=15, equ=26
69: pha4=27, ran=15, equ=27
70: pha4=27, ran=15, equ=28
71: pha4=27, ran=16, equ=28
72: pha4=27, ran=16, equ=29
73: pha4=28, ran=16, equ=29
74: pha4=29, ran=16, equ=29
75: pha4=30, ran=16, equ=29
76: pha4=31, ran=16, equ=29
77: pha4=31, ran=17, equ=29
78: pha4=31, ran=17, equ=30
79: pha4=31, ran=17, equ=31
80: pha4=31, ran=17, equ=32
81: pha4=31, ran=17, equ=33
82: pha4=32, ran=17, equ=33
83: pha4=32, ran=17, equ=34
84: pha4=32, ran=17, equ=35
85: pha4=33, ran=17, equ=35
86: pha4=34, ran=17, equ=35
87: pha4=34, ran=17, equ=36
88: pha4=34, ran=18, equ=36
89: pha4=34, ran=18, equ=37
90: pha4=34, ran=18, equ=38
91: pha4=35, ran=18, equ=38
92: pha4=35, ran=18, equ=39
93: pha4=35, ran=18, equ=40
94: pha4=36, ran=18, equ=40
95: pha4=36, ran=18, equ=41
96: pha4=36, ran=18, equ=42
97: pha4=37, ran=18, equ=42
98: pha4=38, ran=18, equ=42
99: pha4=38, ran=18, equ=43
100: pha4=39, ran=18, equ=43
101: pha4=40, ran=18, equ=43
102: pha4=40, ran=18, equ=44
103: pha4=40, ran=18, equ=45
104: pha4=41, ran=18, equ=45
105: pha4=41, ran=19, equ=45
106: pha4=41, ran=19, equ=46
107: pha4=42, ran=19, equ=46
108: pha4=42, ran=20, equ=46
109: pha4=43, ran=20, equ=46
110: pha4=43, ran=20, equ=47
111: pha4=43, ran=21, equ=47
112: pha4=43, ran=22, equ=47
113: pha4=44, ran=22, equ=47
114: pha4=45, ran=22, equ=47
115: pha4=45, ran=22, equ=48
116: pha4=45, ran=22, equ=49
117: pha4=46, ran=22, equ=49
118: pha4=46, ran=22, equ=50
119: pha4=47, ran=22, equ=50
120: pha4=47, ran=22, equ=51
121: pha4=47, ran=22, equ=52
122: pha4=48, ran=22, equ=52
123: pha4=48, ran=22, equ=53
124: pha4=49, ran=22, equ=53
125: pha4=49, ran=22, equ=54
126: pha4=49, ran=22, equ=55
127: pha4=49, ran=22, equ=56
128: pha4=50, ran=22, equ=56
129: pha4=51, ran=22, equ=56
130: pha4=51, ran=22, equ=57
131: pha4=52, ran=22, equ=57
132: pha4=52, ran=23, equ=57
133: pha4=53, ran=23, equ=57
134: pha4=54, ran=23, equ=57
135: pha4=55, ran=23, equ=57
136: pha4=55, ran=23, equ=58
137: pha4=55, ran=23, equ=59
138: pha4=55, ran=23, equ=60
139: pha4=55, ran=23, equ=61
140: pha4=55, ran=23, equ=62
141: pha4=56, ran=23, equ=62
142: pha4=57, ran=23, equ=62
143: pha4=57, ran=24, equ=62
144: pha4=57, ran=24, equ=63
145: pha4=58, ran=24, equ=63
146: pha4=58, ran=24, equ=64
147: pha4=58, ran=24, equ=65
148: pha4=58, ran=24, equ=66
149: pha4=58, ran=24, equ=67
150: pha4=59, ran=24, equ=67
151: pha4=60, ran=24, equ=67
152: pha4=60, ran=25, equ=67
152: ph4=60, ran=25, equ=67
