0: ph5=0, ran=0, equ=0
0: ph5=0, ran=0, equ=0
0: ph5=0, ran=0, equ=0
1: pha5=1, ran=0, equ=0
2: pha5=2, ran=0, equ=0
3: pha5=3, ran=0, equ=0
4: pha5=4, ran=0, equ=0
5: pha5=5, ran=0, equ=0
6: pha5=6, ran=0, equ=0
7: pha5=7, ran=0, equ=0
8: pha5=8, ran=0, equ=0
9: pha5=9, ran=0, equ=0
10: pha5=10, ran=0, equ=0
11: pha5=11, ran=0, equ=0
12: pha5=12, ran=0, equ=0
13: pha5=13, ran=0, equ=0
14: pha5=14, ran=0, equ=0
15: pha5=15, ran=0, equ=0
16: pha5=16, ran=0, equ=0
17: pha5=17, ran=0, equ=0
18: pha5=18, ran=0, equ=0
19: pha5=19, ran=0, equ=0
20: pha5=20, ran=0, equ=0
21: pha5=21, ran=0, equ=0
22: pha5=22, ran=0, equ=0
23: pha5=23, ran=0, equ=0
24: pha5=24, ran=0, equ=0
25: pha5=25, ran=0, equ=0
26: pha5=26, ran=0, equ=0
27: pha5=27, ran=0, equ=0
28: pha5=28, ran=0, equ=0
29: pha5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
29: ph5=29, ran=0, equ=0
30: pha5=30, ran=0, equ=0
31: pha5=31, ran=0, equ=0
31: ph5=31, ran=0, equ=0
31: ph5=31, ran=0, equ=0
31: ph5=31, ran=0, equ=0
31: ph5=31, ran=0, equ=0
32: pha5=32, ran=0, equ=0
33: pha5=33, ran=0, equ=0
34: pha5=34, ran=0, equ=0
35: pha5=35, ran=0, equ=0
36: pha5=36, ran=0, equ=0
37: pha5=37, ran=0, equ=0
38: pha5=38, ran=0, equ=0
39: pha5=39, ran=0, equ=0
40: pha5=40, ran=0, equ=0
41: pha5=41, ran=0, equ=0
42: pha5=42, ran=0, equ=0
43: pha5=43, ran=0, equ=0
44: pha5=44, ran=0, equ=0
45: pha5=45, ran=0, equ=0
46: pha5=46, ran=0, equ=0
47: pha5=47, ran=0, equ=0
48: pha5=48, ran=0, equ=0
49: pha5=49, ran=0, equ=0
50: pha5=50, ran=0, equ=0
51: pha5=51, ran=0, equ=0
52: pha5=52, ran=0, equ=0
53: pha5=53, ran=0, equ=0
54: pha5=54, ran=0, equ=0
55: pha5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
55: ph5=55, ran=0, equ=0
56: pha5=56, ran=0, equ=0
57: pha5=57, ran=0, equ=0
58: pha5=57, ran=0, equ=1
59: pha5=58, ran=0, equ=1
60: pha5=59, ran=0, equ=1
60: ph5=59, ran=0, equ=1
61: pha5=60, ran=0, equ=1
61: ph5=60, ran=0, equ=1
61: ph5=60, ran=0, equ=1
61: ph5=60, ran=0, equ=1
61: ph5=60, ran=0, equ=1
61: ph5=60, ran=0, equ=1
61: ph5=60, ran=0, equ=1
62: pha5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
62: ph5=61, ran=0, equ=1
63: pha5=62, ran=0, equ=1
64: pha5=63, ran=0, equ=1
65: pha5=64, ran=0, equ=1
66: pha5=65, ran=0, equ=1
67: pha5=66, ran=0, equ=1
68: pha5=67, ran=0, equ=1
68: ph5=67, ran=0, equ=1
68: ph5=67, ran=0, equ=1
69: pha5=68, ran=0, equ=1
70: pha5=69, ran=0, equ=1
70: ph5=69, ran=0, equ=1
70: ph5=69, ran=0, equ=1
70: ph5=69, ran=0, equ=1
70: ph5=69, ran=0, equ=1
71: pha5=70, ran=0, equ=1
72: pha5=71, ran=0, equ=1
73: pha5=72, ran=0, equ=1
74: pha5=73, ran=0, equ=1
75: pha5=74, ran=0, equ=1
76: pha5=75, ran=0, equ=1
77: pha5=76, ran=0, equ=1
78: pha5=77, ran=0, equ=1
79: pha5=78, ran=0, equ=1
80: pha5=79, ran=0, equ=1
81: pha5=80, ran=0, equ=1
81: ph5=80, ran=0, equ=1
82: pha5=81, ran=0, equ=1
83: pha5=82, ran=0, equ=1
84: pha5=83, ran=0, equ=1
85: pha5=84, ran=0, equ=1
86: pha5=85, ran=0, equ=1
87: pha5=86, ran=0, equ=1
88: pha5=87, ran=0, equ=1
89: pha5=88, ran=0, equ=1
90: pha5=89, ran=0, equ=1
91: pha5=90, ran=0, equ=1
92: pha5=91, ran=0, equ=1
93: pha5=92, ran=0, equ=1
94: pha5=93, ran=0, equ=1
94: ph5=93, ran=0, equ=1
