100: my_win=30, ran2_win=27, equ=43
200: my_win=49, ran2_win=57, equ=94
300: my_win=84, ran2_win=78, equ=138
400: my_win=113, ran2_win=102, equ=185
500: my_win=140, ran2_win=130, equ=230
600: my_win=167, ran2_win=158, equ=275
700: my_win=197, ran2_win=176, equ=327
800: my_win=223, ran2_win=204, equ=373
900: my_win=250, ran2_win=232, equ=418
1000: my_win=272, ran2_win=257, equ=471
1100: my_win=300, ran2_win=291, equ=509
1200: my_win=331, ran2_win=316, equ=553
1300: my_win=361, ran2_win=342, equ=597
1400: my_win=384, ran2_win=368, equ=648
1500: my_win=411, ran2_win=390, equ=699
1600: my_win=435, ran2_win=408, equ=757
1700: my_win=460, ran2_win=443, equ=797
1800: my_win=485, ran2_win=476, equ=839
1900: my_win=507, ran2_win=505, equ=888
2000: my_win=527, ran2_win=531, equ=942
2100: my_win=560, ran2_win=551, equ=989
2200: my_win=587, ran2_win=582, equ=1031
2300: my_win=619, ran2_win=607, equ=1074
2400: my_win=643, ran2_win=637, equ=1120
2500: my_win=665, ran2_win=664, equ=1171
2600: my_win=692, ran2_win=692, equ=1216
2700: my_win=719, ran2_win=712, equ=1269
2800: my_win=749, ran2_win=740, equ=1311
2900: my_win=771, ran2_win=772, equ=1357
3000: my_win=801, ran2_win=789, equ=1410
3100: my_win=834, ran2_win=810, equ=1456
3200: my_win=857, ran2_win=841, equ=1502
3300: my_win=877, ran2_win=861, equ=1562
3400: my_win=909, ran2_win=883, equ=1608
3500: my_win=941, ran2_win=908, equ=1651
3600: my_win=962, ran2_win=937, equ=1701
3700: my_win=988, ran2_win=972, equ=1740
3800: my_win=1010, ran2_win=996, equ=1794
3900: my_win=1039, ran2_win=1021, equ=1840
4000: my_win=1064, ran2_win=1058, equ=1878
4100: my_win=1091, ran2_win=1083, equ=1926
4200: my_win=1120, ran2_win=1104, equ=1976
4300: my_win=1149, ran2_win=1122, equ=2029
4400: my_win=1169, ran2_win=1151, equ=2080
4500: my_win=1188, ran2_win=1190, equ=2122
4600: my_win=1206, ran2_win=1217, equ=2177
4700: my_win=1227, ran2_win=1236, equ=2237
4800: my_win=1255, ran2_win=1269, equ=2276
4900: my_win=1282, ran2_win=1294, equ=2324
5000: my_win=1312, ran2_win=1322, equ=2366
5100: my_win=1344, ran2_win=1345, equ=2411
5200: my_win=1378, ran2_win=1370, equ=2452
5300: my_win=1406, ran2_win=1388, equ=2506
5400: my_win=1439, ran2_win=1420, equ=2541
5500: my_win=1473, ran2_win=1442, equ=2585
5600: my_win=1497, ran2_win=1470, equ=2633
5700: my_win=1523, ran2_win=1495, equ=2682
5800: my_win=1550, ran2_win=1518, equ=2732
5900: my_win=1576, ran2_win=1546, equ=2778
6000: my_win=1598, ran2_win=1580, equ=2822
6100: my_win=1637, ran2_win=1595, equ=2868
6200: my_win=1667, ran2_win=1621, equ=2912
6300: my_win=1691, ran2_win=1644, equ=2965
6400: my_win=1725, ran2_win=1666, equ=3009
6500: my_win=1749, ran2_win=1694, equ=3057
6600: my_win=1784, ran2_win=1718, equ=3098
6700: my_win=1812, ran2_win=1751, equ=3137
6800: my_win=1840, ran2_win=1781, equ=3179
6900: my_win=1871, ran2_win=1799, equ=3230
7000: my_win=1897, ran2_win=1829, equ=3274
7100: my_win=1925, ran2_win=1858, equ=3317
7200: my_win=1942, ran2_win=1887, equ=3371
7300: my_win=1964, ran2_win=1917, equ=3419
7400: my_win=1988, ran2_win=1951, equ=3461
7500: my_win=2013, ran2_win=1971, equ=3516
7600: my_win=2050, ran2_win=1997, equ=3553
7700: my_win=2075, ran2_win=2028, equ=3597
7800: my_win=2100, ran2_win=2050, equ=3650
7900: my_win=2124, ran2_win=2068, equ=3708
8000: my_win=2149, ran2_win=2093, equ=3758
8100: my_win=2180, ran2_win=2109, equ=3811
8200: my_win=2206, ran2_win=2130, equ=3864
8300: my_win=2231, ran2_win=2159, equ=3910
8400: my_win=2259, ran2_win=2185, equ=3956
8500: my_win=2284, ran2_win=2210, equ=4006
8600: my_win=2313, ran2_win=2236, equ=4051
8700: my_win=2338, ran2_win=2264, equ=4098
8800: my_win=2370, ran2_win=2288, equ=4142
8900: my_win=2400, ran2_win=2317, equ=4183
9000: my_win=2433, ran2_win=2341, equ=4226
9100: my_win=2464, ran2_win=2368, equ=4268
9200: my_win=2484, ran2_win=2392, equ=4324
9300: my_win=2519, ran2_win=2425, equ=4356
9400: my_win=2543, ran2_win=2449, equ=4408
9500: my_win=2569, ran2_win=2472, equ=4459
9600: my_win=2598, ran2_win=2493, equ=4509
9700: my_win=2620, ran2_win=2522, equ=4558
9800: my_win=2658, ran2_win=2548, equ=4594
9900: my_win=2688, ran2_win=2574, equ=4638
10000: my_win=2724, ran2_win=2598, equ=4678
